Order,Published,Title
1,11/1961,Fantastic Four (1961) #1
2,01/1962,Fantastic Four (1961) #2
4,03/1962,Fantastic Four (1961) #3
5,05/1962,Fantastic Four (1961) #4
12,07/1962,Fantastic Four (1961) #5
17,09/1962,Fantastic Four (1961) #6
20,10/1962,Fantastic Four (1961) #7
21,10/1962,Strange Tales (1951) #101
24,11/1962,Strange Tales (1951) #102
27,11/1962,Fantastic Four (1961) #8
29,12/1962,Strange Tales (1951) #103
30,12/1962,Fantastic Four (1961) #9
37,01/1963,Fantastic Four (1961) #10
39,02/1963,Strange Tales (1951) #105
41,02/1963,Fantastic Four (1961) #11 [B Story]
42,02/1963,Fantastic Four (1961) #11 [A Story]
44,03/1963,Strange Tales (1951) #106
45,04/1963,Strange Tales (1951) #107
46,03/1963,Fantastic Four (1961) #12
53,03/1963,Amazing Spider-Man (1963) #1 [B Story]
59,04/1963,Fantastic Four (1961) #13
63,05/1963,Fantastic Four (1961) #14
67,07/1963,Amazing Spider-Man (1963) #3
68,06/1963,Strange Tales (1951) #109
71,07/1963,Strange Tales (1951) #110 [A Story]
76,06/1963,Fantastic Four (1961) #15
77,08/1963,Strange Tales (1951) #111 [A Story]
79,07/1963,Fantastic Four (1961) #16
80,08/1963,Fantastic Four (1961) #17
84,09/1963,Fantastic Four (1961) #18
87,10/1963,Amazing Spider-Man (1963) #5
88,09/1963,Strange Tales (1951) #112
89,10/1963,Strange Tales Annual (1962) #2
90,07/1963,Fantastic Four Annual (1963) #1 [A Story]
91,07/1963,Fantastic Four Annual (1963) #1 [B Story]
94,09/1963,Avengers (1963) #1
98,10/1963,Fantastic Four (1961) #19
103,11/1963,Strange Tales (1951) #114 [A Story]
105,11/1963,Fantastic Four (1961) #20
114,12/1963,Strange Tales (1951) #115 [A Story]
116,12/1963,Fantastic Four (1961) #21
121,01/1964,Strange Tales (1951) #116 [A Story]
124,01/1964,Amazing Spider-Man (1963) #8 [B Story]
139,01/1964,Avengers (1963) #3
140,01/1964,Fantastic Four (1961) #22
142,02/1964,Strange Tales (1951) #117 [A Story]
144,02/1964,Fantastic Four (1961) #23
146,03/1964,Strange Tales (1951) #118 [A Story]
150,04/1964,Strange Tales (1951) #119 [A Story]
152,03/1964,Fantastic Four (1961) #24
172,05/1964,Strange Tales (1951) #120 [A Story]
179,04/1964,Fantastic Four (1961) #25
180,05/1964,Fantastic Four (1961) #26
187,06/1964,Strange Tales (1951) #121 [A Story]
189,06/1964,Fantastic Four (1961) #27
190,07/1964,Strange Tales (1951) #122 [A Story]
192,06/1964,Daredevil (1964) #2
193,07/1964,Fantastic Four (1961) #28
207,08/1964,Tales of Suspense (1959) #56 [B Story]
209,08/1964,Strange Tales (1951) #123 [A Story]
211,08/1964,Fantastic Four (1961) #29
223,10/1964,Amazing Spider-Man Annual (1964) #1
227,09/1964,Strange Tales (1951) #124 [A Story]
229,09/1964,Fantastic Four (1961) #30
230,10/1964,Strange Tales (1951) #125 [A Story]
231,11/1964,Strange Tales (1951) #126 [A Story]
233,11/1964,Amazing Spider-Man (1963) #18
237,12/1964,Strange Tales (1951) #127 [A Story]
238,12/1964,Amazing Spider-Man (1963) #19
244,11/1964,Fantastic Four Annual (1963) #2 [C Story]
247,10/1964,Fantastic Four (1961) #31
258,11/1964,Fantastic Four (1961) #32
259,12/1964,Fantastic Four (1961) #33
278,01/1965,Strange Tales (1951) #128 [A Story]
280,01/1965,Fantastic Four (1961) #34
282,02/1965,Strange Tales (1951) #129 [A Story]
284,02/1965,Avengers (1963) #13
286,02/1965,Fantastic Four (1961) #35
288,03/1965,Strange Tales (1951) #130 [A Story]
289,04/1965,Strange Tales (1951) #131 [A Story]
290,03/1965,Fantastic Four (1961) #36
294,04/1965,Fantastic Four (1961) #37
298,05/1965,Strange Tales (1951) #132 [A Story]
299,06/1965,Strange Tales (1951) #133 [A Story]
300,07/1965,Strange Tales (1951) #134 [A Story]
306,09/1965,X-Men (1963) #13
308,05/1965,Fantastic Four (1961) #38
340,06/1965,Fantastic Four (1961) #39
341,07/1965,Fantastic Four (1961) #40
342,08/1965,Fantastic Four (1961) #41
343,09/1965,Fantastic Four (1961) #42
344,10/1965,Fantastic Four (1961) #43
371,10/1965,Fantastic Four Annual (1963) #3
421,02/1966,Avengers (1963) #25
426,11/1965,Fantastic Four (1961) #44
427,12/1965,Fantastic Four (1961) #45
428,01/1966,Fantastic Four (1961) #46
429,02/1966,Fantastic Four (1961) #47
430,03/1966,Fantastic Four (1961) #48
431,04/1966,Fantastic Four (1961) #49
432,05/1966,Fantastic Four (1961) #50
470,06/1966,Fantastic Four (1961) #51
527,07/1966,Fantastic Four (1961) #52
528,08/1966,Fantastic Four (1961) #53
539,09/1966,Fantastic Four (1961) #54
540,10/1966,Fantastic Four (1961) #55
573,11/1966,Fantastic Four (1961) #56
584,11/1966,Fantastic Four Annual (1963) #4
585,12/1966,Fantastic Four (1961) #57
586,01/1967,Fantastic Four (1961) #58
587,02/1967,Fantastic Four (1961) #59
588,03/1967,Fantastic Four (1961) #60
596,04/1967,Fantastic Four (1961) #61
597,05/1967,Fantastic Four (1961) #62
598,06/1967,Fantastic Four (1961) #63
616,05/1967,Strange Tales (1951) #156 [A Story]
651,07/1967,Fantastic Four (1961) #64
653,07/1967,Avengers (1963) #42
656,11/1967,Fantastic Four Annual (1963) #5 [A Story]
658,08/1967,Fantastic Four (1961) #65
659,09/1967,Fantastic Four (1961) #66
660,10/1967,Fantastic Four (1961) #67
663,10/1967,Strange Tales (1951) #161 [A Story]
698,11/1967,Fantastic Four (1961) #68
699,12/1967,Fantastic Four (1961) #69
700,01/1968,Fantastic Four (1961) #70
701,02/1968,Fantastic Four (1961) #71
702,03/1968,Fantastic Four (1961) #72
741,12/1967,Daredevil (1964) #35
742,01/1968,Daredevil (1964) #36
744,03/1968,Daredevil (1964) #38
745,04/1968,Fantastic Four (1961) #73
824,05/1968,Fantastic Four (1961) #74
825,06/1968,Fantastic Four (1961) #75
826,07/1968,Fantastic Four (1961) #76
827,08/1968,Fantastic Four (1961) #77
828,09/1968,Fantastic Four (1961) #78
829,10/1968,Fantastic Four (1961) #79
837,11/1968,Amazing Spider-Man Annual (1964) #5
892,11/1968,Fantastic Four (1961) #80
901,11/1968,Fantastic Four Annual (1963) #6
908,12/1968,Fantastic Four (1961) #81
910,01/1969,Avengers (1963) #60
931,07/1968,Incredible Hulk (1962) #105
979,01/1969,Fantastic Four (1961) #82
980,02/1969,Fantastic Four (1961) #83
989,03/1969,Fantastic Four (1961) #84
990,04/1969,Fantastic Four (1961) #85
991,05/1969,Fantastic Four (1961) #86
992,06/1969,Fantastic Four (1961) #87
994,07/1969,Fantastic Four (1961) #88
995,08/1969,Fantastic Four (1961) #89
996,09/1969,Fantastic Four (1961) #90
997,10/1969,Fantastic Four (1961) #91
998,11/1969,Fantastic Four (1961) #92
999,12/1969,Fantastic Four (1961) #93
"1,000",04/1969,Silver Surfer (1968) #5 [A Story]
"1,052",12/1969,Incredible Hulk (1962) #122
"1,053",01/1970,Incredible Hulk (1962) #123
"1,059",02/1970,X-Men (1963) #65
"1,116",01/1970,Fantastic Four (1961) #94
"1,173",02/1970,Fantastic Four (1961) #95
"1,174",03/1970,Fantastic Four (1961) #96
"1,178",11/1970,Avengers (1963) #82
"1,182",04/1970,Silver Surfer (1968) #15
"1,183",04/1970,Fantastic Four (1961) #97
"1,190",05/1970,Fantastic Four (1961) #98
"1,200",06/1970,Fantastic Four (1961) #99
"1,202",07/1970,Fantastic Four (1961) #100
"1,204",06/1970,Silver Surfer (1968) #17
"1,226",08/1970,Fantastic Four (1961) #101
"1,227",08/1970,Amazing Adventures (1970) #1 [A Story]
"1,228",09/1970,Amazing Adventures (1970) #2 [A Story]
"1,239",09/1970,Fantastic Four (1961) #102
"1,240",10/1970,Fantastic Four (1961) #103
"1,241",11/1970,Fantastic Four (1961) #104
"1,323",12/1970,Fantastic Four (1961) #105
"1,324",01/1971,Fantastic Four (1961) #106
"1,325",02/1971,Fantastic Four (1961) #107
"1,326",03/1971,Fantastic Four (1961) #108
"1,327",04/1971,Fantastic Four (1961) #109
"1,328",05/1971,Fantastic Four (1961) #110
"1,333",06/1971,Fantastic Four (1961) #111
"1,334",07/1971,Fantastic Four (1961) #112
"1,335",08/1971,Fantastic Four (1961) #113
"1,336",09/1971,Fantastic Four (1961) #114
"1,337",10/1971,Fantastic Four (1961) #115
"1,338",11/1971,Fantastic Four (1961) #116
"1,341",12/1971,Sub-Mariner (1968) #44
"1,344",12/1971,Fantastic Four (1961) #117
"1,345",01/1972,Fantastic Four (1961) #118 [A Story]
"1,346",01/1972,Fantastic Four (1961) #118 [B Story]
"1,354",09/1971,Avengers (1963) #92
"1,356",12/1971,Avengers (1963) #94
"1,383",02/1972,Fantastic Four (1961) #119
"1,384",03/1972,Marvel Team-Up (1972) #1
"1,414",03/1972,Fantastic Four (1961) #120
"1,415",04/1972,Fantastic Four (1961) #121
"1,416",05/1972,Fantastic Four (1961) #122
"1,417",06/1972,Fantastic Four (1961) #123
"1,418",07/1972,Fantastic Four (1961) #124
"1,419",08/1972,Fantastic Four (1961) #125
"1,482",07/1972,Marvel Team-Up (1972) #3
"1,494",06/1972,Incredible Hulk (1962) #152
"1,496",07/1972,Incredible Hulk (1962) #153
"1,558",01/1973,Marvel Team-Up (1972) #6
"1,565",09/1972,Fantastic Four (1961) #126
"1,566",10/1972,Fantastic Four (1961) #127
"1,567",11/1972,Fantastic Four (1961) #128
"1,579",12/1972,Fantastic Four (1961) #129
"1,580",01/1973,Fantastic Four (1961) #130
"1,581",02/1973,Fantastic Four (1961) #131
"1,582",03/1973,Fantastic Four (1961) #132
"1,649",04/1973,Fantastic Four (1961) #133
"1,661",05/1973,Hero for Hire (1972) #9
"1,768",12/1973,Avengers (1963) #118
"1,806",11/1973,Amazing Spider-Man (1963) #126
"1,808",12/1973,Amazing Spider-Man (1963) #127
"1,857",05/1973,Captain Marvel (1968) #26
"1,858",09/1973,Marvel Feature (1971) #11
"1,863",11/1973,Marvel Feature (1971) #12
"1,867",05/1973,Fantastic Four (1961) #134
"1,868",06/1973,Fantastic Four (1961) #135
"1,869",07/1973,Fantastic Four (1961) #136
"1,870",08/1973,Fantastic Four (1961) #137
"1,871",09/1973,Fantastic Four (1961) #138
"1,872",10/1973,Fantastic Four (1961) #139
"1,876",11/1973,Sub-Mariner (1968) #67
"1,877",11/1973,Fantastic Four (1961) #140
"1,878",12/1973,Fantastic Four (1961) #141
"1,883",01/1974,Marvel Team-Up (1972) #17
"1,893",01/1974,Fantastic Four (1961) #142
"1,894",02/1974,Marvel Team-Up (1972) #18
"1,895",02/1974,Fantastic Four (1961) #143
"1,896",03/1974,Fantastic Four (1961) #144
"1,899",03/1974,Marvel Two-in-One (1974) #2
"1,901",05/1974,Marvel Two-in-One (1974) #3
"1,902",06/1974,Daredevil (1964) #110
"1,937",07/1974,Marvel Two-in-One (1974) #4
"1,938",09/1974,Marvel Two-in-One (1974) #5
"1,986",05/1974,Giant-Size Super-Stars (1974) #1
"2,025",04/1974,Fantastic Four (1961) #145
"2,026",05/1974,Fantastic Four (1961) #146
"2,027",06/1974,Fantastic Four (1961) #147
"2,028",07/1974,Fantastic Four (1961) #148
"2,029",08/1974,Fantastic Four (1961) #149
"2,056",08/1974,Giant-Size Fantastic Four (1974) #2
"2,078",10/1974,Marvel Team-Up (1972) #26
"2,101",09/1974,Avengers (1963) #127
"2,102",09/1974,Fantastic Four (1961) #150 [A Story]
"2,103",09/1974,Fantastic Four (1961) #150 [B Story]
"2,106",10/1974,Avengers (1963) #128
"2,137",11/1974,Giant-Size Fantastic Four (1974) #3
"2,212",10/1974,Fantastic Four (1961) #151
"2,213",11/1974,Fantastic Four (1961) #152
"2,214",12/1974,Fantastic Four (1961) #153
"2,217",01/1975,Fantastic Four (1961) #154
"2,231",02/1975,Fantastic Four (1961) #155
"2,233",03/1975,Fantastic Four (1961) #156
"2,234",04/1975,Fantastic Four (1961) #157
"2,261",02/1975,Giant-Size Fantastic Four (1974) #4
"2,292",03/1975,Marvel Two-in-One (1974) #8
"2,296",04/1975,Marvel Team-Up (1972) #32
"2,318",05/1975,Marvel Two-in-One (1974) #9
"2,339",05/1975,Fantastic Four (1961) #158
"2,340",06/1975,Fantastic Four (1961) #159
"2,361",07/1975,Fantastic Four (1961) #160
"2,362",08/1975,Fantastic Four (1961) #161
"2,363",09/1975,Fantastic Four (1961) #162
"2,364",10/1975,Fantastic Four (1961) #163
"2,480",11/1975,Fantastic Four (1961) #164
"2,481",12/1975,Fantastic Four (1961) #165
"2,553",03/1976,Marvel Two-in-One (1974) #14
"2,722",06/1976,Marvel Two-in-One (1974) #16
"2,741",01/1976,Fantastic Four (1961) #166
"2,742",02/1976,Fantastic Four (1961) #167
"2,754",03/1976,Fantastic Four (1961) #168
"2,755",04/1976,Fantastic Four (1961) #169
"2,756",05/1976,Fantastic Four (1961) #170
"2,757",06/1976,Fantastic Four Annual (1963) #11
"2,758",06/1976,Marvel Two-in-One Annual (1976) #1
"2,759",10/1976,Marvel Two-in-One (1974) #20
"2,776",11/1976,Marvel Two-in-One (1974) #21
"2,777",12/1976,Marvel Two-in-One (1974) #22
"2,778",01/1977,Marvel Two-in-One (1974) #23
"2,801",04/1976,Super-Villain Team-Up (1975) #5
"2,802",06/1976,Super-Villain Team-Up (1975) #6
"2,803",08/1976,Super-Villain Team-Up (1975) #7
"2,901",06/1976,Fantastic Four (1961) #171
"2,902",07/1976,Fantastic Four (1961) #172
"2,903",08/1976,Fantastic Four (1961) #173
"2,904",09/1976,Fantastic Four (1961) #174
"2,905",10/1976,Fantastic Four (1961) #175
"2,962",12/1976,Marvel Treasury Edition (1974) #13
"2,974",09/1977,Marvel Comics Super Special (1977) #1
"2,999",10/1977,X-Men (1963) #107
"3,000",12/1977,X-Men (1963) #108
"3,004",05/1977,Marvel Two-in-One (1974) #27
"3,005",06/1977,Marvel Two-in-One (1974) #28
"3,009",10/1977,Marvel Two-in-One (1974) #32
"3,061",02/1978,Marvel Two-in-One (1974) #36
"3,062",11/1976,Fantastic Four (1961) #176
"3,063",12/1976,Fantastic Four (1961) #177
"3,064",01/1977,Fantastic Four (1961) #178
"3,065",02/1977,Fantastic Four (1961) #179
"3,066",04/1977,Fantastic Four (1961) #181
"3,067",05/1977,Fantastic Four (1961) #182
"3,068",06/1977,Fantastic Four (1961) #183
"3,069",07/1977,Fantastic Four (1961) #184
"3,072",08/1977,Fantastic Four (1961) #185
"3,073",09/1977,Fantastic Four (1961) #186
"3,074",10/1977,Fantastic Four (1961) #187
"3,075",11/1977,Fantastic Four (1961) #188
"3,076",01/1978,Fantastic Four (1961) #190
"3,252",09/1977,Marvel Team-Up (1972) #61
"3,286",02/1978,Fantastic Four (1961) #191
"3,346",10/1978,Fantastic Four (1961) #199
"3,347",11/1978,Fantastic Four (1961) #200
"3,402",11/1977,Fantastic Four Annual (1963) #12
"3,496",12/1978,Fantastic Four Annual (1963) #13
"3,589",12/1978,Fantastic Four (1961) #201
"3,590",01/1979,Fantastic Four (1961) #202
"3,628",03/1979,Godzilla (1977) #20
"3,629",04/1979,Godzilla (1977) #21
"3,630",05/1979,Godzilla (1977) #22
"3,631",06/1979,Godzilla (1977) #23
"3,632",07/1979,Godzilla (1977) #24
"3,657",10/1978,Marvel Two-in-One (1974) #44
"3,670",02/1979,Fantastic Four (1961) #203
"3,671",12/1978,Marvel Two-in-One (1974) #46
"3,721",01/1979,Marvel Two-in-One (1974) #47
"3,724",04/1979,Marvel Two-in-One (1974) #50
"3,779",03/1979,Fantastic Four (1961) #204 [A Story]
"3,780",04/1979,Fantastic Four (1961) #205
"3,782",05/1979,Fantastic Four (1961) #206
"3,783",06/1979,Fantastic Four (1961) #207
"3,784",07/1979,Fantastic Four (1961) #208
"3,785",08/1979,Fantastic Four (1961) #209
"3,786",09/1979,Fantastic Four (1961) #210
"3,787",10/1979,Fantastic Four (1961) #211
"3,788",11/1979,Fantastic Four (1961) #212
"3,789",12/1979,Fantastic Four (1961) #213
"3,790",01/1980,Fantastic Four (1961) #214
"3,883",01/1980,Marvel Two-in-One (1974) #59
"3,884",02/1980,Marvel Two-in-One (1974) #60
"4,030",06/1980,Machine Man (1978) #15
"4,044",10/1979,Marvel Team-Up Annual (1976) #2
"4,063",07/1980,X-Men (1963) #135
"4,066",02/1980,Fantastic Four (1961) #215
"4,067",03/1980,Fantastic Four (1961) #216
"4,068",04/1980,Fantastic Four (1961) #217
"4,070",12/1979,Fantastic Four Annual (1963) #14
"4,073",08/1980,Shogun Warriors (1979) #19
"4,074",09/1980,Shogun Warriors (1979) #20
"4,084",02/1980,Micronauts (1979) #14
"4,085",03/1980,Micronauts (1979) #15
"4,086",04/1980,Micronauts (1979) #16
"4,087",05/1980,Micronauts (1979) #17
"4,093",12/1980,Fantastic Four Annual UK (1980) #1980 [A ...
"4,094",12/1980,Fantastic Four Annual UK (1980) #1980 [B ...
"4,176",05/1980,Daredevil (1964) #164
"4,181",03/1980,Marvel Treasury Edition (1974) #25
"4,188",05/1980,Fantastic Four (1961) #218
"4,195",06/1980,Fantastic Four (1961) #219
"4,196",07/1980,Fantastic Four (1961) #220
"4,197",08/1980,Fantastic Four (1961) #221
"4,232",06/1980,Marvel Two-in-One (1974) #64
"4,235",09/1980,Marvel Two-in-One (1974) #67
"4,252",10/1980,Marvel Two-in-One (1974) #68 [A Story]
"4,253",11/1980,Marvel Two-in-One (1974) #69
"4,264",12/1980,Marvel Two-in-One (1974) #70
"4,279",09/1980,Fantastic Four (1961) #222
"4,280",10/1980,Fantastic Four (1961) #223
"4,298",10/1980,Fantastic Four Annual (1963) #15 [A Story]
"4,306",08/1980,Incredible Hulk (1962) #250
"4,316",11/1980,Fantastic Four (1961) #224
"4,317",12/1980,Fantastic Four (1961) #225
"4,318",01/1981,Fantastic Four (1961) #226
"4,330",12/1981,Fantastic Four Annual UK (1980) 1981 [A ...
"4,331",12/1981,Fantastic Four Annual UK (1980) 1981 [B ...
"4,341",12/1980,Marvel Team-Up (1972) #100 [A Story]
"4,366",09/1980,Marvel Two-in-One Annual (1976) #5
"4,370",02/1981,Fantastic Four (1961) #227
"4,414",01/1981,Marvel Two-in-One (1974) #71
"4,415",02/1981,Marvel Two-in-One (1974) #72
"4,426",03/1981,Fantastic Four (1961) #228
"4,456",04/1981,Dazzler (1981) #2
"4,460",03/1981,Thor (1966) #305 [A Story]
"4,465",04/1981,Marvel Two-in-One (1974) #74
"4,511",04/1981,Amazing Spider-Man (1963) #215
"4,560",05/1981,Marvel Two-in-One (1974) #75
"4,564",07/1981,Marvel Two-in-One (1974) #77
"4,571",04/1981,Fantastic Four (1961) #229
"4,572",05/1981,Fantastic Four (1961) #230
"4,573",06/1981,Fantastic Four (1961) #231
"4,579",05/1981,Dazzler (1981) #3
"4,580",06/1981,Dazzler (1981) #4
"4,600",08/1981,Marvel Two-in-One (1974) #78
"4,608",10/1981,Marvel Two-in-One (1974) #80
"4,621",10/1981,X-Men Annual (1979) #5
"4,627",05/1982,Marvel Fanfare (1982) #2 [B Story]
"4,656",07/1981,Fantastic Four (1961) #232 [A Story]
"4,664",08/1981,Fantastic Four (1961) #233
"4,716",10/1981,Fantastic Four Annual (1963) #16
"4,740",10/1981,Rom (1979) #23
"4,757",09/1981,Fantastic Four (1961) #234
"4,758",10/1981,Fantastic Four (1961) #235
"4,772",04/1982,Marvel Graphic Novel (1981) #1
"4,804",02/1982,Avengers (1963) #216
"4,858",01/1982,Marvel Two-in-One (1974) #83
"4,859",02/1982,Marvel Two-in-One (1974) #84
"4,867",11/1981,Fantastic Four (1961) #236
"4,868",12/1981,Fantastic Four (1961) #237
"4,869",01/1982,Fantastic Four (1961) #238 [A Story]
"4,870",01/1982,Fantastic Four (1961) #238 [B Story]
"4,871",02/1982,Fantastic Four (1961) #239
"4,883",03/1982,Fantastic Four (1961) #240
"4,884",04/1982,Fantastic Four (1961) #241
"4,895",05/1982,Fantastic Four (1961) #242
"4,896",06/1982,Fantastic Four (1961) #243
"4,897",07/1982,Fantastic Four (1961) #244
"4,898",08/1982,Fantastic Four (1961) #245
"4,905",03/1982,Marvel Two-in-One (1974) #85
"4,906",04/1982,Marvel Two-in-One (1974) #86 [A Story]
"4,907",04/1982,Marvel Two-in-One (1974) #86 [B Story]
"4,909",04/1982,Micronauts (1979) #40
"4,911",09/1982,Fantastic Four (1961) #246
"4,912",10/1982,Fantastic Four (1961) #247
"4,915",05/1982,Marvel Two-in-One (1974) #87
"4,920",04/1982,Doctor Strange (1974) #52
"4,921",06/1982,Doctor Strange (1974) #53
"4,926",07/1982,Marvel Two-in-One (1974) #89
"4,947",06/1982,Contest of Champions (1982) #1
"4,949",08/1982,Contest of Champions (1982) #3
"4,965",06/1982,Iron Man (1968) #159
"4,985",06/1982,Silver Surfer (1982) #1
"5,019",08/1982,Dazzler (1981) #18
"5,022",11/1982,Dazzler (1981) #21
"5,072",11/1982,Incredible Hulk Annual (1968) #11 [A Story]
"5,104",11/1982,Fantastic Four (1961) #248
"5,106",09/1982,Marvel Two-in-One (1974) #91
"5,107",10/1982,Marvel Two-in-One (1974) #92
"5,155",11/1982,Incredible Hulk (1962) #277
"5,159",12/1982,Fantastic Four (1961) #249
"5,160",01/1983,Fantastic Four (1961) #250
"5,162",03/1983,Uncanny X-Men (1981) #167
"5,163",12/1982,Incredible Hulk (1962) #278
"5,164",01/1983,Incredible Hulk (1962) #279
"5,167",01/1983,Avengers (1963) #227
"5,175",10/1982,Marvel Two-in-One Annual (1976) #7
"5,176",02/1983,Marvel Two-in-One (1974) #96
"5,214",03/1983,Marvel Two-in-One (1974) #97
"5,233",04/1983,Marvel Two-in-One (1974) #98
"5,253",06/1983,Marvel Two-in-One (1974) #100
"5,304",02/1983,Fantastic Four (1961) #251
"5,305",03/1983,Fantastic Four (1961) #252
"5,306",04/1983,Fantastic Four (1961) #253
"5,307",05/1983,Fantastic Four (1961) #254
"5,308",06/1983,Fantastic Four (1961) #255
"5,309",07/1983,Avengers (1963) #233
"5,310",07/1983,Fantastic Four (1961) #256
"5,317",08/1983,The Thing (1983) #2
"5,318",08/1983,Fantastic Four (1961) #257
"5,319",09/1983,Fantastic Four (1961) #258
"5,320",07/1983,Avengers Annual (1967) #12
"5,321",09/1983,Fantastic Four Annual (1963) #17
"5,326",10/1983,Fantastic Four (1961) #259
"5,327",11/1983,Fantastic Four (1961) #260
"5,331",12/1983,Fantastic Four (1961) #261
"5,332",01/1984,Fantastic Four (1961) #262
"5,510",03/1984,Incredible Hulk (1962) #293
"5,544",05/1984,Marvel Fanfare (1982) #14 [A Story]
"5,550",07/1984,Marvel Fanfare (1982) #15 [A Story]
"5,559",01/1984,Moon Knight (1980) #35
"5,561",02/1984,Fantastic Four (1961) #263
"5,562",03/1984,Fantastic Four (1961) #264
"5,589",04/1984,"Peter Parker, The Spectacular Spider-Man ..."
"5,591",04/1984,The Thing (1983) #10
"5,595",05/1984,Secret Wars (1984) #1
"5,596",06/1984,Secret Wars (1984) #2
"5,866",01/1985,Fantastic Four (1961) #274
"5,904",10/1985,Marvel Graphic Novel (1981) #17
"5,921",02/1985,Fantastic Four (1961) #275
"5,922",03/1985,Fantastic Four (1961) #276
"5,923",04/1985,Fantastic Four (1961) #277
"5,926",05/1985,The Thing (1983) #23
"6,043",11/1985,Marvel Graphic Novel (1981) #18
"6,047",07/1985,The Thing (1983) #25
"6,048",05/1985,Fantastic Four (1961) #278
"6,049",06/1985,Fantastic Four (1961) #279
"6,066",07/1985,Fantastic Four (1961) #280
"6,067",08/1985,Fantastic Four (1961) #281
"6,068",08/1985,Secret Wars II (1985) #2
"6,074",11/1985,Questprobe (1984) #3
"6,089",09/1985,Fantastic Four (1961) #282
"6,090",10/1985,Fantastic Four (1961) #283
"6,091",11/1985,Fantastic Four (1961) #284
"6,112",09/1985,Secret Wars II (1985) #3
"6,128",12/1985,Fantastic Four (1961) #285
"6,129",11/1985,Avengers Annual (1967) #14
"6,130",11/1985,Fantastic Four Annual (1963) #19
"6,180",11/1985,Secret Wars II (1985) #5
"6,239",01/1986,Fantastic Four (1961) #286
"6,241",02/1986,Defenders (1972) #152
"6,245",02/1986,Captain America (1968) #314
"6,250",09/1985,Marvel Age Annual (1985) #1
"6,261",02/1986,Avengers (1963) #264
"6,281",02/1986,Fantastic Four (1961) #287
"6,282",03/1986,Fantastic Four (1961) #288
"6,284",03/1986,Secret Wars II (1985) #9
"6,285",04/1986,Avengers (1963) #266
"6,332",04/1986,Fantastic Four (1961) #289
"6,333",05/1986,Fantastic Four (1961) #290
"6,334",06/1986,Fantastic Four (1961) #291
"6,335",07/1986,Fantastic Four (1961) #292
"6,376",09/1986,Power Man and Iron Fist (1980) #125
"6,410",07/1986,Incredible Hulk (1962) #321
"6,425",08/1986,Fantastic Four (1961) #293
"6,426",09/1986,Fantastic Four (1961) #294
"6,427",10/1986,Fantastic Four (1961) #295
"6,499",06/1986,Power Pack (1984) #23
"6,501",08/1986,Power Pack (1984) #25
"6,506",10/1986,Power Pack (1984) #26
"6,519",02/1987,Power Pack (1984) #28
"6,525",10/1986,West Coast Avengers Annual (1986) #1
"6,528",11/1986,Fantastic Four (1961) #296
"6,529",12/1986,Fantastic Four (1961) #297
"6,530",01/1987,Fantastic Four (1961) #298
"6,596",07/1987,West Coast Avengers (1985) #22
"6,597",08/1987,West Coast Avengers (1985) #23
"6,601",04/1987,Marvel Tales (1964) #198 [B Story]
"6,609",05/1987,Comet Man (1987) #4
"6,610",06/1987,Comet Man (1987) #5
"6,634",04/1987,Mephisto VS (1987) #1
"6,635",05/1987,Mephisto VS (1987) #2
"6,636",06/1987,Mephisto VS (1987) #3
"6,639",02/1987,Fantastic Four (1961) #299
"6,645",03/1987,Fantastic Four (1961) #300
"6,647",07/1987,Silver Surfer (1987) #1
"6,648",04/1987,Fantastic Four (1961) #301
"6,667",05/1987,Fantastic Four (1961) #302
"6,674",06/1987,Marvel Graphic Novel (1981) #27
"6,676",06/1987,Fantastic Four (1961) #303
"6,680",07/1987,Fantastic Four (1961) #304
"6,685",02/1987,Fantastic Four vs. The X-Men (1987) #1
"6,686",03/1987,Fantastic Four vs. The X-Men (1987) #2
"6,687",04/1987,Fantastic Four vs. The X-Men (1987) #3
"6,688",06/1987,Fantastic Four vs. The X-Men (1987) #4
"6,739",08/1987,Fantastic Four (1961) #305
"6,740",09/1987,Fantastic Four Annual (1963) #20
"6,761",09/1987,Fantastic Four (1961) #306
"6,799",10/1987,Fantastic Four (1961) #307
"6,911",04/1988,Marvel Fanfare (1982) #37 [B Story]
"6,913",01/1988,Power Pack (1984) #34
"6,918",11/1987,Fantastic Four (1961) #308
"6,919",12/1987,Fantastic Four (1961) #309
"6,920",01/1988,Fantastic Four (1961) #310
"6,921",02/1988,Fantastic Four (1961) #311
"6,940",03/1988,Fantastic Four (1961) #312
"6,944",04/1988,Silver Surfer (1987) #10
"6,947",05/1988,Amazing Spider-Man (1963) #300
"6,948",04/1988,Power Pack (1984) #36
"7,105",08/1988,Alpha Flight (1983) #61
"7,129",06/1989,Damage Control (1989) #2
"7,155",04/1988,Fantastic Four (1961) #313
"7,156",05/1988,Fantastic Four (1961) #314
"7,157",06/1988,Fantastic Four (1961) #315
"7,161",07/1988,Fantastic Four (1961) #316
"7,162",08/1988,Fantastic Four (1961) #317
"7,203",07/1988,Nick Fury vs SHIELD (1988) #2
"7,209",09/1988,Fantastic Four Annual (1963) #21 [A Story]
"7,210",09/1988,Fantastic Four Annual (1963) #21 [B Story]
"7,269",09/1988,Fantastic Four (1961) #318
"7,270",10/1988,Fantastic Four (1961) #319
"7,272",10/1988,Silver Surfer (1987) #16
